Removed Pin From Net: NetName=MISO Pin=ICSP-1
Removed Pin From Net: NetName=SCK Pin=ICSP-3
Removed Pin From Net: NetName=MOSI Pin=ICSP-4
Removed Pin From Net: NetName=GND Pin=ICSP-6
Removed Pin From Net: NetName=GND Pin=IOH-7
Change Component Designator: OldDesignator=AD NewDesignator=AD1
Change Component Designator: OldDesignator=ICSP NewDesignator=ICSP1
Change Component Designator: OldDesignator=IOH NewDesignator=IOH1
Change Component Designator: OldDesignator=IOL NewDesignator=IOL1
Change Component Designator: OldDesignator=POWER NewDesignator=POWER1
Change component parameters: Designator = "IOH" ("IOH"); Footprint = "Header 10x1 8.5mm"; UniqueID = "\YUIEELQM" ("\YUIEELQM")
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.03g"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q5(FP-318-08-IPC_B)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "220mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "220mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Resistance"; Value = "3.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fall Time"; Value = "9ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.93mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance"; Value = "27pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2.92mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "360mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Vgs"; Value = "1.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance"; Value = "6R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "360mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On Max"; Value = "3.5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rise Time"; Value = "9ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Voltage"; Value = "1.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-Off Delay Time"; Value = "20ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn-On Delay Time"; Value = "2.5ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.03g"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "1.3mm"; VariantName = "[No Variations]"
Added Component: Designator=Q6(ONSC-SOT-23-3-318-08_V)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.onsemi.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.onsemi.cn/pub_link/Collateral/DTA143Z-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.onsemi.cn/pub_link/Collateral/318-08.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "hFE Min"; Value = "80"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "IC Continuous (A)"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "On Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "3-Pin Small Outline Transistor, Body 2.92 x 1.3 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "SOT-23-3-318-08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. AP, 11/2009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "MMUN2133LT1G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "PNP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "R1/R2 Typ"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "V(BR)CEO Min (V)"; Value = "50"; VariantName = "[No Variations]"
Added Component: Designator=R1(FP-3386F-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Res"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.bourns.com/docs/Product-Datasheets/3386.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Cermet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Variable Resistors and Potentiometers"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "TRIMMER 30K OHM 0.5W PC PIN TOP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "5.08mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Bourns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "3386F-1-303LF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Trimmer Resistors - Through Hole 3/8 30Kohms 10% 0.5Watts Square"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/3386f-1-303lf-bourns-1032328"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "3386F"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "0.5W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "30kO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "3386"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0.38mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "30kO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "300V"; VariantName = "[No Variations]"
Added Component: Designator=R2(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R3(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R4(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R5(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R6(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R7(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R8(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R9(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R10(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R11(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R12(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R13(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R14(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R15(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R16(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R17(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R18(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R19(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R20(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R21(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R22(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R23(0603_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603JR-0718RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-18GRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R24(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R25(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R26(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R27(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R28(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
Added Component: Designator=R29(0805_RES_HD)
Add component (AddParameter): Name = "GFUPartNo"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0805FR-07100RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Type"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-100CRCT-ND"; VariantName = "[No Variations]"
